@relation SpotifySongs-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last-precision6

@attribute track_name string
@attribute artist(s)_name string
@attribute artist_count {'\'(-inf-1.7]\'','\'(1.7-2.4]\'','\'(2.4-3.1]\'','\'(3.1-3.8]\'','\'(3.8-4.5]\'','\'(4.5-5.2]\'','\'(5.2-5.9]\'','\'(5.9-6.6]\'','\'(6.6-7.3]\'','\'(7.3-inf)\''}
@attribute released_year {'\'(-inf-1939.3]\'','\'(1939.3-1948.6]\'','\'(1948.6-1957.9]\'','\'(1957.9-1967.2]\'','\'(1967.2-1976.5]\'','\'(1976.5-1985.8]\'','\'(1985.8-1995.1]\'','\'(1995.1-2004.4]\'','\'(2004.4-2013.7]\'','\'(2013.7-inf)\''}
@attribute released_month {'\'(-inf-2.1]\'','\'(2.1-3.2]\'','\'(3.2-4.3]\'','\'(4.3-5.4]\'','\'(5.4-6.5]\'','\'(6.5-7.6]\'','\'(7.6-8.7]\'','\'(8.7-9.8]\'','\'(9.8-10.9]\'','\'(10.9-inf)\''}
@attribute released_day {'\'(-inf-4]\'','\'(4-7]\'','\'(7-10]\'','\'(10-13]\'','\'(13-16]\'','\'(16-19]\'','\'(19-22]\'','\'(22-25]\'','\'(25-28]\'','\'(28-inf)\''}
@attribute in_spotify_playlists {'\'(-inf-5317.7]\'','\'(5317.7-10604.4]\'','\'(10604.4-15891.1]\'','\'(15891.1-21177.8]\'','\'(21177.8-26464.5]\'','\'(26464.5-31751.2]\'','\'(31751.2-37037.9]\'','\'(37037.9-42324.6]\'','\'(42324.6-47611.3]\'','\'(47611.3-inf)\''}
@attribute in_spotify_charts {'\'(-inf-14.7]\'','\'(14.7-29.4]\'','\'(29.4-44.1]\'','\'(44.1-58.8]\'','\'(58.8-73.5]\'','\'(73.5-88.2]\'','\'(88.2-102.9]\'','\'(102.9-117.6]\'','\'(117.6-132.3]\'','\'(132.3-inf)\''}
@attribute streams {'\'(-inf-370391993.2]\'','\'(370391993.2-740781224.4]\'','\'(740781224.4-1111170455.6]\'','\'(1111170455.6-1481559686.8]\'','\'(1481559686.8-1851948918]\'','\'(1851948918-2222338149.2]\'','\'(2222338149.2-2592727380.4]\'','\'(2592727380.4-2963116611.6]\'','\'(2963116611.6-3333505842.8]\'','\'(3333505842.8-inf)\''}
@attribute in_apple_playlists {'\'(-inf-67.2]\'','\'(67.2-134.4]\'','\'(134.4-201.6]\'','\'(201.6-268.8]\'','\'(268.8-336]\'','\'(336-403.2]\'','\'(403.2-470.4]\'','\'(470.4-537.6]\'','\'(537.6-604.8]\'','\'(604.8-inf)\''}
@attribute in_apple_charts {'\'(-inf-27.5]\'','\'(27.5-55]\'','\'(55-82.5]\'','\'(82.5-110]\'','\'(110-137.5]\'','\'(137.5-165]\'','\'(165-192.5]\'','\'(192.5-220]\'','\'(220-247.5]\'','\'(247.5-inf)\''}
@attribute in_deezer_playlists {'\'(-inf-1236.7]\'','\'(1236.7-2473.4]\'','\'(2473.4-3710.1]\'','\'(3710.1-4946.8]\'','\'(4946.8-6183.5]\'','\'(6183.5-7420.2]\'','\'(7420.2-8656.9]\'','\'(8656.9-9893.6]\'','\'(9893.6-11130.3]\'','\'(11130.3-inf)\''}
@attribute in_deezer_charts {'\'(-inf-5.8]\'','\'(5.8-11.6]\'','\'(11.6-17.4]\'','\'(17.4-23.2]\'','\'(23.2-29]\'','\'(29-34.8]\'','\'(34.8-40.6]\'','\'(40.6-46.4]\'','\'(46.4-52.2]\'','\'(52.2-inf)\''}
@attribute in_shazam_charts {'\'(-inf-145.1]\'','\'(145.1-290.2]\'','\'(290.2-435.3]\'','\'(435.3-580.4]\'','\'(580.4-725.5]\'','\'(725.5-870.6]\'','\'(870.6-1015.7]\'','\'(1015.7-1160.8]\'','\'(1160.8-1305.9]\'','\'(1305.9-inf)\''}
@attribute bpm {'\'(-inf-79.1]\'','\'(79.1-93.2]\'','\'(93.2-107.3]\'','\'(107.3-121.4]\'','\'(121.4-135.5]\'','\'(135.5-149.6]\'','\'(149.6-163.7]\'','\'(163.7-177.8]\'','\'(177.8-191.9]\'','\'(191.9-inf)\''}
@attribute key {A#,A,B,C#,D#,D,E,F#,F,G#,G,none}
@attribute danceability {'\'(-inf-30.3]\'','\'(30.3-37.6]\'','\'(37.6-44.9]\'','\'(44.9-52.2]\'','\'(52.2-59.5]\'','\'(59.5-66.8]\'','\'(66.8-74.1]\'','\'(74.1-81.4]\'','\'(81.4-88.7]\'','\'(88.7-inf)\''}
@attribute valence {'\'(-inf-13.3]\'','\'(13.3-22.6]\'','\'(22.6-31.9]\'','\'(31.9-41.2]\'','\'(41.2-50.5]\'','\'(50.5-59.8]\'','\'(59.8-69.1]\'','\'(69.1-78.4]\'','\'(78.4-87.7]\'','\'(87.7-inf)\''}
@attribute energy {'\'(-inf-17.8]\'','\'(17.8-26.6]\'','\'(26.6-35.4]\'','\'(35.4-44.2]\'','\'(44.2-53]\'','\'(53-61.8]\'','\'(61.8-70.6]\'','\'(70.6-79.4]\'','\'(79.4-88.2]\'','\'(88.2-inf)\''}
@attribute acousticness {'\'(-inf-9.7]\'','\'(9.7-19.4]\'','\'(19.4-29.1]\'','\'(29.1-38.8]\'','\'(38.8-48.5]\'','\'(48.5-58.2]\'','\'(58.2-67.9]\'','\'(67.9-77.6]\'','\'(77.6-87.3]\'','\'(87.3-inf)\''}
@attribute instrumentalness {'\'(-inf-9.1]\'','\'(9.1-18.2]\'','\'(18.2-27.3]\'','\'(27.3-36.4]\'','\'(36.4-45.5]\'','\'(45.5-54.6]\'','\'(54.6-63.7]\'','\'(63.7-72.8]\'','\'(72.8-81.9]\'','\'(81.9-inf)\''}
@attribute liveness {'\'(-inf-12.4]\'','\'(12.4-21.8]\'','\'(21.8-31.2]\'','\'(31.2-40.6]\'','\'(40.6-50]\'','\'(50-59.4]\'','\'(59.4-68.8]\'','\'(68.8-78.2]\'','\'(78.2-87.6]\'','\'(87.6-inf)\''}
@attribute speechiness {'\'(-inf-8.2]\'','\'(8.2-14.4]\'','\'(14.4-20.6]\'','\'(20.6-26.8]\'','\'(26.8-33]\'','\'(33-39.2]\'','\'(39.2-45.4]\'','\'(45.4-51.6]\'','\'(51.6-57.8]\'','\'(57.8-inf)\''}
@attribute cover_url string
@attribute class {Major,Minor}

@data
'Seven (feat. Latto) (Explicit Ver.)','Latto  Jung Kook','\'(1.7-2.4]\'','\'(2013.7-inf)\'','\'(6.5-7.6]\'','\'(13-16]\'','\'(-inf-5317.7]\'','\'(132.3-inf)\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(247.5-inf)\'','\'(-inf-1236.7]\'','\'(5.8-11.6]\'','\'(725.5-870.6]\'','\'(121.4-135.5]\'',B,'\'(74.1-81.4]\'','\'(87.7-inf)\'','\'(79.4-88.2]\'','\'(29.1-38.8]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'','Not Found',Major
LALA,'Myke Towers','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(2.1-3.2]\'','\'(22-25]\'','\'(-inf-5317.7]\'','\'(44.1-58.8]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(110-137.5]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(290.2-435.3]\'','\'(79.1-93.2]\'',C#,'\'(66.8-74.1]\'','\'(59.8-69.1]\'','\'(70.6-79.4]\'','\'(-inf-9.7]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,Major
vampire,'Olivia Rodrigo','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(5.4-6.5]\'','\'(28-inf)\'','\'(-inf-5317.7]\'','\'(102.9-117.6]\'','\'(-inf-370391993.2]\'','\'(67.2-134.4]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(870.6-1015.7]\'','\'(135.5-149.6]\'',F,'\'(44.9-52.2]\'','\'(31.9-41.2]\'','\'(44.2-53]\'','\'(9.7-19.4]\'','\'(-inf-9.1]\'','\'(21.8-31.2]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,Major
'Cruel Summer','Taylor Swift','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(7.6-8.7]\'','\'(22-25]\'','\'(5317.7-10604.4]\'','\'(88.2-102.9]\'','\'(740781224.4-1111170455.6]\'','\'(67.2-134.4]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(435.3-580.4]\'','\'(163.7-177.8]\'',A,'\'(52.2-59.5]\'','\'(50.5-59.8]\'','\'(70.6-79.4]\'','\'(9.7-19.4]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(14.4-20.6]\'',https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Major
'WHERE SHE GOES','Bad Bunny','\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(4.3-5.4]\'','\'(16-19]\'','\'(-inf-5317.7]\'','\'(44.1-58.8]\'','\'(-inf-370391993.2]\'','\'(67.2-134.4]\'','\'(110-137.5]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(290.2-435.3]\'','\'(135.5-149.6]\'',A,'\'(59.5-66.8]\'','\'(22.6-31.9]\'','\'(79.4-88.2]\'','\'(9.7-19.4]\'','\'(54.6-63.7]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,Minor
Sprinter,'Dave  Central Cee','\'(1.7-2.4]\'','\'(2013.7-inf)\'','\'(5.4-6.5]\'','\'(-inf-4]\'','\'(-inf-5317.7]\'','\'(88.2-102.9]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(870.6-1015.7]\'','\'(135.5-149.6]\'',C#,'\'(88.7-inf)\'','\'(59.8-69.1]\'','\'(53-61.8]\'','\'(9.7-19.4]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(20.6-26.8]\'',https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,Major
'Ella Baila Sola','Eslabon Armado  Peso Pluma','\'(1.7-2.4]\'','\'(2013.7-inf)\'','\'(2.1-3.2]\'','\'(13-16]\'','\'(-inf-5317.7]\'','\'(44.1-58.8]\'','\'(370391993.2-740781224.4]\'','\'(-inf-67.2]\'','\'(220-247.5]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(290.2-435.3]\'','\'(135.5-149.6]\'',F,'\'(66.8-74.1]\'','\'(78.4-87.7]\'','\'(70.6-79.4]\'','\'(38.8-48.5]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,Minor
Columbia,Quevedo,'\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(6.5-7.6]\'','\'(4-7]\'','\'(-inf-5317.7]\'','\'(29.4-44.1]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(82.5-110]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(145.1-290.2]\'','\'(93.2-107.3]\'',F,'\'(66.8-74.1]\'','\'(22.6-31.9]\'','\'(70.6-79.4]\'','\'(29.1-38.8]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(-inf-8.2]\'',https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,Major
fukumean,Gunna,'\'(-inf-1.7]\'','\'(2013.7-inf)\'','\'(4.3-5.4]\'','\'(13-16]\'','\'(-inf-5317.7]\'','\'(73.5-88.2]\'','\'(-inf-370391993.2]\'','\'(-inf-67.2]\'','\'(192.5-220]\'','\'(-inf-1236.7]\'','\'(5.8-11.6]\'','\'(870.6-1015.7]\'','\'(121.4-135.5]\'',C#,'\'(81.4-88.7]\'','\'(13.3-22.6]\'','\'(61.8-70.6]\'','\'(9.7-19.4]\'','\'(-inf-9.1]\'','\'(21.8-31.2]\'','\'(8.2-14.4]\'',https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,Minor
'La Bebe - Remix','Peso Pluma  Yng Lvcas','\'(1.7-2.4]\'','\'(2013.7-inf)\'','\'(2.1-3.2]\'','\'(16-19]\'','\'(-inf-5317.7]\'','\'(29.4-44.1]\'','\'(370391993.2-740781224.4]\'','\'(-inf-67.2]\'','\'(82.5-110]\'','\'(-inf-1236.7]\'','\'(11.6-17.4]\'','\'(290.2-435.3]\'','\'(163.7-177.8]\'',D,'\'(74.1-81.4]\'','\'(50.5-59.8]\'','\'(44.2-53]\'','\'(19.4-29.1]\'','\'(-inf-9.1]\'','\'(-inf-12.4]\'','\'(26.8-33]\'','Not Found',Minor
