@relation SpotifySongs-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute track_name string
@attribute artist(s)_name string
@attribute artist_count numeric
@attribute released_year numeric
@attribute released_month numeric
@attribute released_day numeric
@attribute in_spotify_playlists numeric
@attribute in_spotify_charts numeric
@attribute streams numeric
@attribute in_apple_playlists numeric
@attribute in_apple_charts numeric
@attribute in_deezer_playlists numeric
@attribute in_deezer_charts numeric
@attribute in_shazam_charts numeric
@attribute bpm numeric
@attribute key {A#,A,B,C#,D#,D,E,F#,F,G#,G,none}
@attribute danceability numeric
@attribute valence numeric
@attribute energy numeric
@attribute acousticness numeric
@attribute instrumentalness numeric
@attribute liveness numeric
@attribute speechiness numeric
@attribute cover_url string
@attribute class {Major,Minor}

@data
'Seven (feat. Latto) (Explicit Ver.)','Latto  Jung Kook',0.142857,1,0.545455,0.433333,0.009874,1,0.03817,0.063988,0.956364,0.003639,0.172414,0.569263,0.425532,B,0.780822,0.913978,0.840909,0.319588,0,0.053191,0.032258,'Not Found',Major
LALA,'Myke Towers',0,1,0.181818,0.733333,0.027295,0.326531,0.036101,0.071429,0.458182,0.00469,0.241379,0.263267,0.191489,C#,0.657534,0.612903,0.738636,0.072165,0,0.074468,0.032258,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,Major
vampire,'Olivia Rodrigo',0,1,0.454545,0.966667,0.025838,0.768707,0.037798,0.139881,0.752727,0.007358,0.241379,0.654032,0.51773,F,0.383562,0.301075,0.5,0.175258,0,0.297872,0.064516,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,Major
'Cruel Summer','Taylor Swift',0,0.956989,0.636364,0.733333,0.148051,0.680272,0.216215,0.172619,0.752727,0.010108,0.206897,0.377671,0.744681,A,0.438356,0.580645,0.715909,0.113402,0,0.085106,0.209677,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,Major
'WHERE SHE GOES','Bad Bunny',0,1,0.363636,0.566667,0.058676,0.340136,0.081869,0.125,0.483636,0.007035,0.258621,0.292901,0.560284,A,0.575342,0.204301,0.806818,0.14433,0.692308,0.085106,0.064516,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,Minor
Sprinter,'Dave  Central Cee',0.142857,1,0.454545,0,0.040763,0.619048,0.049597,0.099702,0.774545,0.007116,0.293103,0.651964,0.539007,C#,0.945205,0.666667,0.556818,0.195876,0,0.053191,0.354839,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,Major
'Ella Baila Sola','Eslabon Armado  Peso Pluma',0.142857,1,0.181818,0.5,0.057862,0.340136,0.196004,0.050595,0.807273,0.003477,0.224138,0.288077,0.588652,F,0.60274,0.849462,0.761364,0.494845,0,0.053191,0.016129,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,Minor
Columbia,Quevedo,0,1,0.545455,0.2,0.012919,0.292517,0.015699,0.037202,0.323636,0.002426,0.224138,0.133701,0.248227,F,0.60274,0.236559,0.704545,0.381443,0,0.085106,0.032258,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,Major
fukumean,Gunna,0,1,0.363636,0.466667,0.020145,0.564626,0.025707,0.089286,0.763636,0.003881,0.189655,0.656788,0.460993,C#,0.849315,0.193548,0.602273,0.123711,0,0.265957,0.112903,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,Minor
'La Bebe - Remix','Peso Pluma  Yng Lvcas',0.142857,1,0.181818,0.533333,0.055271,0.29932,0.149473,0.072917,0.4,0.005337,0.224138,0.233632,0.744681,D,0.794521,0.55914,0.443182,0.216495,0,0.053191,0.5,'Not Found',Minor
'un x100to','Bad Bunny  Grupo Frontera',0.142857,1,0.272727,0.533333,0.053814,0.272109,0.136524,0.061012,0.745455,0.004366,0.206897,0.172984,0.12766,F#,0.465753,0.55914,0.715909,0.237113,0,0.255319,0.048387,'Not Found',Minor
